Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,CEV_1_Working_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh
19,19,12:30,12:45,0.0,0.0,0.0,244.11444135565603,244.11444135565603,0.0,2.9988488252673244,2.9988488252673244
20,20,12:45,13:00,0.0,8.0,0.0,244.11444135565603,242.0091781977613,0.0,2.9988488252673244,4.998848825267324
21,21,13:00,13:15,0.0,8.0,1.2434497875801753e-14,242.0091781977613,239.90391503986655,0.0,4.998848825267324,6.998848825267324
22,22,13:15,13:30,0.0,8.0,-1.0125233984581428e-13,239.90391503986655,237.79865188197184,0.0,6.998848825267324,8.998848825267324
23,23,13:30,13:45,0.0,8.0,1.2434497875801753e-14,237.79865188197184,235.6933887240771,0.0,8.998848825267324,10.998848825267324
24,24,13:45,14:00,0.0,8.0,-1.0125233984581428e-13,235.6933887240771,233.58812556618238,0.0,10.998848825267324,12.998848825267324
25,25,14:00,14:15,0.0,0.0,0.0,233.58812556618238,233.58812556618238,4.867369255083615,12.998848825267324,11.78200651149642
26,26,14:15,14:30,0.0,0.0,0.0,233.58812556618238,233.58812556618238,4.348118163403132,11.78200651149642,10.694976970645637
27,27,14:30,14:45,0.0,0.0,0.0,233.58812556618238,233.58812556618238,5.213473444562664,10.694976970645637,9.39160860950497
28,28,14:45,15:00,0.0,2.1446655619801263,-5.240252676230739e-14,233.58812556618238,233.0237398919771,0.0,9.39160860950497,9.927775000000002
29,29,15:00,15:15,0.0,0.0,-1.1368683772161603e-13,233.0237398919771,233.02373989197713,3.336876529303495,9.927775000000002,9.093555867674128
30,30,15:15,15:30,0.0,0.0,0.0,233.02373989197713,233.02373989197713,2.8224804692581387,9.093555867674128,8.387935750359594
31,31,15:30,15:45,0.0,7.840156998561625,-3.907985046680551e-14,233.02373989197713,230.96054068182934,0.0,8.387935750359594,10.347975
32,32,15:45,16:00,0.0,0.0,-1.1368683772161603e-13,230.96054068182934,230.96054068182937,2.7900986627526208,10.347975,9.650450334311845
33,33,16:00,16:15,0.0,0.0,0.0,230.96054068182937,230.96054068182937,5.088994672838825,9.650450334311845,8.37820166610214
34,34,16:15,16:30,0.0,0.0,0.0,230.96054068182937,230.96054068182937,3.5976962476321637,8.37820166610214,7.478777604194098
35,35,16:30,16:45,0.0,0.0,0.0,230.96054068182937,230.96054068182937,3.0626971486621306,7.478777604194098,6.713103317028565
36,36,16:45,17:00,0.0,0.3475867318857411,3.5915714846623814e-14,230.96054068182937,230.86907048922785,0.0,6.713103317028565,6.800000000000001
37,37,17:00,17:15,0.0,8.0,0.0,230.86907048922785,228.7638073313331,0.0,6.800000000000001,8.8
38,38,17:15,17:30,0.0,8.0,0.0,228.7638073313331,226.65854417343837,0.0,8.8,10.8
39,39,17:30,17:45,0.0,8.0,0.0,226.65854417343837,224.55328101554363,0.0,10.8,12.8
40,40,17:45,18:00,0.0,0.0,0.0,224.55328101554363,224.55328101554363,0.0,12.8,12.8
41,41,18:00,18:15,0.0,8.0,0.0,224.55328101554363,222.4480178576489,0.0,12.8,14.8
42,42,18:15,18:30,0.0,0.0,10.000000000000114,222.4480178576489,219.94801785764886,0.0,14.8,14.8
