k,clock,price,co2,grid_kW,dch_kW,work_kW,soe_mcs,soe_cev1,soe_cev2,mcs_node,est_dig,est_load,est_trv,est_idle,unc_dig,unc_load,unc_trv,unc_idle,n_obs
29,15:00,0.387,0.125497949,0.0,0.0,3.16,231.57190193440286,9.6475,NaN,2,4.689364060980319,3.2345743517294276,4.700212747294048,0.028282972588256617,0.10417075088972888,0.29363279923829816,0.21562731807684477,0.026072310235995065,29
30,15:15,0.387,0.132440012,0.0,0.0,3.16,231.57190193440286,8.857500000000002,NaN,2,4.689364060980319,3.2345743517294276,4.700212747294048,0.028282972588256617,0.10417075088972888,0.29363279923829816,0.21562731807684477,0.026072310235995065,30
31,15:30,0.387,0.128745287,0.0,0.0,4.71,231.57190193440286,7.6800000000000015,NaN,2,4.689364060980319,3.2345743517294276,4.700212747294048,0.028282972588256617,0.10417075088972888,0.29363279923829816,0.21562731807684477,0.026072310235995065,31
32,15:45,0.387,0.12752758,0.0,8.0,0.0,229.46663877650812,9.680000000000001,NaN,2,4.690151035336901,3.336813605000505,4.672706621307381,0.02683150008529956,0.0894119411823786,0.13210135329535577,0.14092797703248852,0.023270296380569336,32
33,16:00,0.627,0.130457634,0.0,0.0,3.16,229.46663877650812,8.89,NaN,2,4.690151035336901,3.336813605000505,4.672706621307381,0.02683150008529956,0.0894119411823786,0.13210135329535577,0.14092797703248852,0.023270296380569336,33
34,16:15,0.627,0.129548016,0.0,2.7378026055123144,0.0,228.74616440663647,9.57445065137808,NaN,2,4.690151035336901,3.336813605000505,4.672706621307381,0.02683150008529956,0.0894119411823786,0.13210135329535577,0.14092797703248852,0.023270296380569336,34
35,16:30,0.627,0.132261205,0.0,0.0,3.16,228.74616440663647,8.78445065137808,NaN,2,4.690151035336901,3.336813605000505,4.672706621307381,0.02683150008529956,0.0894119411823786,0.13210135329535577,0.14092797703248852,0.023270296380569336,35
36,16:45,0.627,0.134973404,0.0,7.796354894914188,0.0,226.69449206586958,10.733539375106627,NaN,2,4.690151035336901,3.336813605000505,4.672706621307381,0.02683150008529956,0.0894119411823786,0.13210135329535577,0.14092797703248852,0.023270296380569336,36
37,17:00,0.627,0.14154539,0.0,7.973168499914699,0.0,224.59628982904994,12.726831500085302,NaN,2,4.690151035336901,3.336813605000505,4.672706621307381,0.02683150008529956,0.0894119411823786,0.13210135329535577,0.14092797703248852,0.023270296380569336,37
38,17:15,0.627,0.160302751,0.0,7.973168499914699,0.0,222.4980875922303,14.720123625063977,NaN,2,4.690151035336901,3.336813605000505,4.672706621307381,0.02683150008529956,0.0894119411823786,0.13210135329535577,0.14092797703248852,0.023270296380569336,38
39,17:30,0.627,0.166092752,0.0,0.0,0.0,219.9980875922303,14.720123625063977,NaN,0,4.690151035336901,3.336813605000505,4.672706621307381,0.02683150008529956,0.0894119411823786,0.13210135329535577,0.14092797703248852,0.023270296380569336,39
40,17:45,0.627,0.162902898,0.0,0.0,0.0,219.9980875922303,14.720123625063977,NaN,1,4.691567967537912,3.315406642937061,4.688250439753486,0.024106656606567037,0.07934537208491907,0.120302524445194,0.1334830097413274,0.02016023298239453,40
