Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh,MCS_1_A2S_kWh,MCS_1_A1R_kWh,MCS_1_A2R_kWh
49,219.9205263157895,220.1200517989785,220.12005179897847,221.0058079508797,220.1200517989785
50,219.92052631578946,220.1200517989785,220.12005179897847,221.0058079508797,220.1200517989785
51,219.92052631578946,220.1200517989785,220.12005179897847,221.0058079508797,220.1200517989785
52,219.92052631578946,220.1200517989785,220.12005179897847,221.0058079508797,220.1200517989785
53,219.9205263157895,220.1200517989785,220.12005179897847,221.0058079508797,220.1200517989785
54,220.60415071770333,220.7991415308199,220.79914153081987,221.66476686108697,220.7991415308199
55,221.2877751196172,221.4782312626613,221.47823126266124,222.32372577129425,221.4782312626613
56,221.97139952153108,222.1573209945027,222.15732099450264,222.98268468150152,222.1573209945027
57,222.65502392344496,222.8364107263441,222.836410726344,223.64164359170883,222.8364107263441
58,223.33864832535883,223.51550045818547,223.51550045818541,224.30060250191613,223.51550045818547
59,224.0222727272727,224.19459019002687,224.1945901900268,224.95956141212343,224.19459019002687
60,224.70589712918658,224.87367992186824,224.8736799218682,225.61852032233074,224.87367992186824
61,225.38952153110046,225.55276965370965,225.55276965370956,226.27747923253804,225.55276965370965
62,226.07314593301433,226.23185938555102,226.23185938555096,226.93643814274535,226.23185938555102
63,226.7567703349282,226.91094911739242,226.91094911739233,227.59539705295265,226.91094911739242
64,227.44039473684208,227.5900388492338,227.59003884923374,228.25435596315995,227.5900388492338
65,228.12401913875595,228.2691285810756,228.26912858107562,228.9133148733674,228.26912858107562
66,228.80764354066983,228.9482183129174,228.9482183129175,229.57227378357484,228.94821831291742
67,229.4912679425837,229.6273080447592,229.6273080447594,230.2312326937823,229.62730804475925
68,230.17489234449758,230.306397776601,230.30639777660127,230.89019160398973,230.30639777660105
69,230.85851674641145,230.98548750844276,230.98548750844316,231.54915051419718,230.98548750844287
70,231.54214114832533,231.66457724028456,231.66457724028504,232.20810942440463,231.66457724028467
71,232.22576555023926,232.34366697212636,232.34366697212693,232.86706833461207,232.3436669721265
72,232.9093899521531,233.02275670396813,233.0227567039688,233.52602724481952,233.0227567039683
73,233.59301435406698,233.70184643580993,233.7018464358107,234.18498615502696,233.70184643581013
74,234.27663875598085,234.38093616765173,234.38093616765258,234.8439450652344,234.38093616765192
75,234.96026315789473,235.0600258994935,235.06002589949446,235.50290397544185,235.06002589949375
76,235.6438875598086,235.7391156313353,235.73911563133635,236.1618628856493,235.73911563133555
77,236.32751196172248,236.4182053631771,236.41820536317823,236.82082179585674,236.41820536317738
78,237.01113636363635,237.09729509501886,237.09729509502012,237.4797807060642,237.09729509501918
79,237.69476076555023,237.77638482686066,237.776384826862,238.13873961627164,237.776384826861
80,238.3783851674641,238.45547455870246,238.45547455870388,238.79769852647908,238.4554745587028
81,239.06200956937798,239.13456429054423,239.13456429054577,239.45665743668653,239.13456429054463
82,239.74563397129185,239.81365402238603,239.81365402238765,240.11561634689397,239.81365402238643
83,240.42925837320573,240.49274375422783,240.49274375422954,240.77457525710142,240.49274375422826
84,241.1128827751196,241.1718334860696,241.17183348607142,241.43353416730886,241.17183348607006
85,241.79650717703348,241.8509232179114,241.8509232179133,242.0924930775163,241.85092321791188
86,242.48013157894735,242.5300129497532,242.5300129497552,242.75145198772375,242.53001294975368
87,243.16375598086123,243.20910268159497,243.20910268159707,243.41041089793117,243.2091026815955
88,243.8473803827751,243.88819241343674,243.88819241343896,244.0693698081386,243.8881924134373
89,244.53100478468897,244.5672821452785,244.56728214528084,244.728328718346,244.56728214527914
90,245.21462918660285,245.24637187710752,245.2463718771068,245.3872876285481,245.2463718771073
91,245.89825358851672,245.92546160894932,245.9254616089487,246.04624653875553,245.92546160894912
92,246.58187799043057,246.60455134079092,246.60455134079058,246.70520544896294,246.60455134079092
93,247.26550239234444,247.28364107263275,247.28364107263246,247.36416435917036,247.28364107263275
94,247.94912679425835,247.96273080447455,247.96273080447432,248.02312326937772,247.96273080447455
95,248.63275119617222,248.64182053631637,248.64182053631623,248.68208217958517,248.64182053631637
96,249.3163755980861,249.32091026815817,249.3209102681581,249.34104108979255,249.3209102681582
97,250.0,250.0,250.0,250.0,250.0
