Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A1R_minus_A0_cum_kWh
61,23:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
62,23:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
63,23:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
64,23:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Idle,-1.774648207160972
65,00:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
66,00:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
67,00:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
68,00:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
69,01:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
70,01:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
71,01:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
72,01:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
73,02:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
74,02:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
75,02:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
76,02:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
77,03:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
78,03:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
79,03:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
80,03:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
81,04:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
82,04:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
83,04:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
84,04:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
85,05:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
86,05:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
87,05:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
88,05:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
89,06:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
90,06:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
91,06:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
92,06:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
93,07:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
94,07:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
95,07:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
96,07:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
