Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,CEV_1_Working_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh
33,33,D1 16:00,D1 16:15,0.0,0.0,0.0,229.16809385741595,229.16809385741595,3.16,7.192810835454898,6.402810835454898
34,34,D1 16:15,D1 16:30,0.0,0.0,0.0,229.16809385741595,229.16809385741595,0.0,6.402810835454898,6.402810835454898
35,35,D1 16:30,D1 16:45,0.0,0.0,0.0,229.16809385741595,229.16809385741595,3.16,6.402810835454898,5.612810835454898
36,36,D1 16:45,D1 17:00,0.0,0.0,0.0,229.16809385741595,229.16809385741595,3.16,5.612810835454898,4.822810835454898
37,37,D1 17:00,D1 17:15,0.0,0.0,0.0,229.16809385741595,229.16809385741595,0.0,4.822810835454898,4.822810835454898
38,38,D1 17:15,D1 17:30,0.0,0.0,0.0,229.16809385741595,229.16809385741595,0.0,4.822810835454898,4.822810835454898
39,39,D1 17:30,D1 17:45,0.0,0.0,0.0,229.16809385741595,229.16809385741595,0.0,4.822810835454898,4.822810835454898
40,40,D1 17:45,D2 08:00,0.0,0.0,0.0,229.16809385741595,250.0,0.0,4.822810835454898,4.822810835454898
41,41,D2 08:00,D2 08:15,0.0,0.0,10.0,250.0,247.5,4.79,4.822810835454898,3.625310835454898
42,42,D2 08:15,D2 08:30,0.0,8.0,1.2434497875801753e-14,247.5,245.39473684210526,0.0,3.625310835454898,5.625310835454898
43,43,D2 08:30,D2 08:45,0.0,0.0,0.0,245.39473684210526,245.39473684210526,4.79,5.625310835454898,4.427810835454898
44,44,D2 08:45,D2 09:00,0.0,8.0,1.2434497875801753e-14,245.39473684210526,243.28947368421052,0.0,4.427810835454898,6.427810835454898
45,45,D2 09:00,D2 09:15,0.0,0.0,-1.1368683772161603e-13,243.28947368421052,243.28947368421055,3.16,6.427810835454898,5.637810835454898
46,46,D2 09:15,D2 09:30,0.0,0.0,0.0,243.28947368421055,243.28947368421055,4.79,5.637810835454898,4.440310835454898
47,47,D2 09:30,D2 09:45,0.0,8.0,1.2434497875801753e-14,243.28947368421055,241.1842105263158,0.0,4.440310835454898,6.440310835454898
48,48,D2 09:45,D2 10:00,0.0,3.6401250344238694,-4.796163466380676e-14,241.1842105263158,240.22628288567796,0.0,6.440310835454898,7.350342094060865
49,49,D2 10:00,D2 10:15,0.0,0.0,0.0,240.22628288567796,240.22628288567796,4.71,7.350342094060865,6.172842094060865
50,50,D2 10:15,D2 10:30,0.0,0.0,0.0,240.22628288567796,240.22628288567796,4.79,6.172842094060865,4.975342094060865
51,51,D2 10:30,D2 10:45,0.0,0.0,0.0,240.22628288567796,240.22628288567796,4.79,4.975342094060865,3.7778420940608655
52,52,D2 10:45,D2 11:00,0.0,6.4698781537216705,-7.904787935331115e-14,240.22628288567796,238.5236833715407,0.0,3.7778420940608655,5.395311632491283
53,53,D2 11:00,D2 11:15,0.0,0.0,-2.2737367544323206e-13,238.5236833715407,238.52368337154076,4.79,5.395311632491283,4.197811632491283
54,54,D2 11:15,D2 11:30,0.0,8.0,1.2434497875801753e-14,238.52368337154076,236.41842021364602,0.0,4.197811632491283,6.197811632491283
