day,gstep,k,clock,price,co2,grid_kW,dch_kW,work_kW,soe_mcs,soe_cev1,soe_cev2,mcs_node,est_dig,est_load,est_trv,est_idle,unc_dig,unc_load,unc_trv,unc_idle,n_obs
1,24,24,D1 13:45,0.261,0.124229477,0.0,0.0,0.0,233.2673858511668,12.818483441391567,NaN,2,4.881304921136437,2.9075412399010974,4.539994141806535,0.02865446374838137,0.09592965247642352,0.16442223310127874,0.19801905199666864,0.023391379140602183,24
1,25,25,D1 14:00,0.387,0.120622693,0.0,0.0,4.71,233.26738585116686,11.640983441391567,NaN,2,4.881304921136437,2.9075412399010974,4.539994141806535,0.02865446374838137,0.09592965247642352,0.16442223310127874,0.19801905199666864,0.023391379140602183,25
1,26,26,D1 14:15,0.387,0.126193867,0.0,0.0,4.79,233.26738585116686,10.443483441391567,NaN,2,4.881304921136437,2.9075412399010974,4.539994141806535,0.02865446374838137,0.09592965247642352,0.16442223310127874,0.19801905199666864,0.023391379140602183,26
1,27,27,D1 14:30,0.387,0.126695016,0.0,1.1368683772161603e-13,4.79,233.2673858511668,9.245983441391596,NaN,2,4.881304921136437,2.9075412399010974,4.539994141806535,0.02865446374838137,0.09592965247642352,0.16442223310127874,0.19801905199666864,0.023391379140602183,27
1,28,28,D1 14:45,0.387,0.123729362,0.0,0.0,4.79,233.2673858511668,8.048483441391596,NaN,2,4.881304921136437,2.9075412399010974,4.539994141806535,0.02865446374838137,0.09592965247642352,0.16442223310127874,0.19801905199666864,0.023391379140602183,28
1,29,29,D1 15:00,0.387,0.125497949,0.0,0.0,3.16,233.26738585116684,7.258483441391596,NaN,2,4.881304921136437,2.9075412399010974,4.539994141806535,0.02865446374838137,0.09592965247642352,0.16442223310127874,0.19801905199666864,0.023391379140602183,29
1,30,30,D1 15:15,0.387,0.132440012,0.0,0.0,4.71,233.26738585116686,6.080983441391596,NaN,2,4.881304921136437,2.9075412399010974,4.539994141806535,0.02865446374838137,0.09592965247642352,0.16442223310127874,0.19801905199666864,0.023391379140602183,30
1,31,31,D1 15:30,0.387,0.128745287,0.0,8.0,0.0,231.16212269327212,8.080983441391595,NaN,2,4.881304921136437,2.9075412399010974,4.539994141806535,0.02865446374838137,0.09592965247642352,0.16442223310127874,0.19801905199666864,0.023391379140602183,31
1,32,32,D1 15:45,0.387,0.12752758,0.0,0.0,4.79,231.16212269327212,6.883483441391595,NaN,2,4.798025796591899,2.9943358459171168,4.749952849041326,0.02953311252750684,0.08335077263475732,0.15598183966529564,0.14119769837298798,0.0249881523147664,32
1,33,33,D1 16:00,0.627,0.130457634,0.0,0.0,3.16,231.16212269327212,6.093483441391595,NaN,2,4.798025796591899,2.9943358459171168,4.749952849041326,0.02953311252750684,0.08335077263475732,0.15598183966529564,0.14119769837298798,0.0249881523147664,33
1,34,34,D1 16:15,0.627,0.129548016,0.0,0.0,3.16,231.16212269327212,5.303483441391595,NaN,2,4.798025796591899,2.9943358459171168,4.749952849041326,0.02953311252750684,0.08335077263475732,0.15598183966529564,0.14119769837298798,0.0249881523147664,34
1,35,35,D1 16:30,0.627,0.132261205,0.0,0.0,0.0,231.16212269327212,5.303483441391595,NaN,2,4.798025796591899,2.9943358459171168,4.749952849041326,0.02953311252750684,0.08335077263475732,0.15598183966529564,0.14119769837298798,0.0249881523147664,35
1,36,36,D1 16:45,0.627,0.134973404,0.0,0.0,3.16,231.16212269327212,4.513483441391595,NaN,2,4.798025796591899,2.9943358459171168,4.749952849041326,0.02953311252750684,0.08335077263475732,0.15598183966529564,0.14119769837298798,0.0249881523147664,36
1,37,37,D1 17:00,0.627,0.14154539,0.0,2.484045045281402,0.0,230.50842662872438,5.134494702711946,NaN,2,4.798025796591899,2.9943358459171168,4.749952849041326,0.02953311252750684,0.08335077263475732,0.15598183966529564,0.14119769837298798,0.0249881523147664,37
1,38,38,D1 17:15,0.627,0.160302751,0.0,6.166776936797685,0.0,228.885590592725,6.676188936911367,NaN,2,4.798025796591899,2.9943358459171168,4.749952849041326,0.02953311252750684,0.08335077263475732,0.15598183966529564,0.14119769837298798,0.0249881523147664,38
1,39,39,D1 17:30,0.627,0.166092752,0.0,0.0,0.0,226.385590592725,6.676188936911367,NaN,0,4.798025796591899,2.9943358459171168,4.749952849041326,0.02953311252750684,0.08335077263475732,0.15598183966529564,0.14119769837298798,0.0249881523147664,39
1,40,40,D1 17:45,0.627,0.162902898,0.0,0.0,0.0,226.385590592725,6.676188936911367,NaN,1,4.799969955404325,3.0519978487074595,4.759214848145813,0.029051314259332703,0.07408665493878361,0.11563119366720777,0.14219667265568917,0.02407252107205181,40
2,41,1,D2 08:00,0.387,0.184844771,0.0,0.0,4.79,247.5,5.478688936911367,NaN,0,4.799969955404325,3.0519978487074595,4.759214848145813,0.029051314259332703,0.07408665493878361,0.11563119366720777,0.14219667265568917,0.02407252107205181,41
