Time_Period,Clock,A1R_MCS1_Location,A2R_MCS1_Location
374,05:15,1,1
375,05:30,1,1
376,05:45,1,1
377,06:00,1,1
378,06:15,1,1
379,06:30,1,1
380,06:45,1,1
381,07:00,1,1
382,07:15,1,1
383,07:30,1,1
384,07:45,1,1
385,08:00,0,1
386,08:15,2,1
387,08:30,2,1
388,08:45,2,1
389,09:00,2,0
390,09:15,2,2
391,09:30,2,2
392,09:45,2,2
393,10:00,2,2
394,10:15,2,2
395,10:30,2,2
396,10:45,2,2
397,11:00,2,2
398,11:15,2,2
399,11:30,2,2
400,11:45,2,2
401,12:00,2,2
402,12:15,2,2
403,12:30,2,2
404,12:45,2,2
405,13:00,2,2
406,13:15,2,2
407,13:30,2,2
408,13:45,2,2
409,14:00,2,2
410,14:15,2,2
411,14:30,2,2
412,14:45,2,2
413,15:00,2,2
414,15:15,2,2
415,15:30,2,2
416,15:45,2,2
417,16:00,2,2
418,16:15,2,2
419,16:30,2,2
420,16:45,2,2
421,17:00,2,2
422,17:15,2,2
423,17:30,2,2
424,17:45,2,0
425,18:00,2,1
426,18:15,0,1
427,18:30,1,1
428,18:45,1,1
429,19:00,1,1
430,19:15,1,1
431,19:30,1,1
432,19:45,1,1
433,20:00,1,1
434,20:15,1,1
435,20:30,1,1
436,20:45,1,1
437,21:00,1,1
438,21:15,1,1
439,21:30,1,1
440,21:45,1,1
441,22:00,1,1
442,22:15,1,1
443,22:30,1,1
444,22:45,1,1
445,23:00,1,1
446,23:15,1,1
447,23:30,1,1
448,23:45,1,1
449,00:00,1,1
450,00:15,1,1
451,00:30,1,1
452,00:45,1,1
453,01:00,1,1
454,01:15,1,1
455,01:30,1,1
456,01:45,1,1
457,02:00,1,1
458,02:15,1,1
459,02:30,1,1
460,02:45,1,1
461,03:00,1,1
462,03:15,1,1
463,03:30,1,1
464,03:45,1,1
465,04:00,1,1
466,04:15,1,1
467,04:30,1,1
468,04:45,1,1
469,05:00,1,1
470,05:15,1,1
471,05:30,1,1
472,05:45,1,1
473,06:00,1,1
474,06:15,1,1
475,06:30,1,1
476,06:45,1,1
477,07:00,1,1
478,07:15,1,1
479,07:30,1,1
480,07:45,1,1
