Time_Period,CEV_1_A0_kWh,CEV_1_A2S_kWh
106,13.612948791829654,13.612948791829654
107,12.418207540433107,12.418207540433107
108,11.224915697174202,11.224915697174202
109,10.027491662649258,10.027491662649258
110,10.027491662649258,12.027491662649258
111,8.85524949497287,10.85524949497287
112,7.682930758688586,9.682930758688586
113,6.472233934501146,8.472233934501146
114,6.472233934501146,10.472233934501146
115,6.472233934501146,12.472233934501146
116,6.472233934501146,12.472233934501146
117,6.472233934501146,12.472233934501146
118,6.472233934501146,12.472233934501146
119,6.472233934501146,12.472233934501146
120,8.472233934501146,12.472233934501146
121,10.472233934501146,12.472233934501146
122,9.247849288330794,11.247849288330794
123,8.020144670667005,10.020144670667005
124,10.020144670667005,9.242634000790913
125,8.781023624927636,8.44142302616073
126,8.003512955051544,8.44142302616073
127,7.202301980421361,7.701252763552533
128,5.907184311081129,6.406135094212301
129,7.907184311081129,5.590170467311307
130,7.167014048472931,4.351049421571937
131,6.351049421571936,6.351049421571937
132,5.583743486098367,5.583743486098368
133,4.794282243042839,4.79428224304284
134,6.794282243042839,6.79428224304284
135,8.79428224304284,8.79428224304284
136,10.79428224304284,10.79428224304284
137,12.79428224304284,12.79428224304284
138,14.79428224304284,14.79428224304284
139,14.8,14.8
140,14.8,14.8
141,14.8,14.8
142,14.8,14.8
143,14.8,14.8
144,14.8,14.8
145,14.8,14.8
146,14.8,14.8
147,14.8,14.8
148,14.8,14.8
149,14.8,14.8
150,14.8,14.8
151,14.8,14.8
152,14.8,14.8
153,14.8,14.8
154,14.8,14.8
155,14.8,14.8
156,14.8,14.8
157,14.8,14.8
158,14.8,14.8
159,14.8,14.8
160,14.8,14.8
161,14.8,14.8
162,14.8,14.8
163,14.8,14.8
164,14.8,14.8
165,14.8,14.8
166,14.8,14.8
167,14.8,14.8
168,14.8,14.8
169,14.8,14.8
170,14.8,14.8
171,14.8,14.8
172,14.8,14.8
173,14.8,14.8
174,14.8,14.8
175,14.8,14.8
176,14.8,14.8
177,14.8,14.8
178,14.8,14.8
179,14.8,14.8
180,14.8,14.8
181,14.8,14.8
182,14.8,14.8
183,14.8,14.8
184,14.8,14.8
185,14.8,14.8
186,14.8,14.8
187,14.8,14.8
188,14.8,14.8
189,14.8,14.8
190,14.8,14.8
191,14.8,14.8
192,14.8,14.8
193,14.8,14.8
194,13.6128183056788,13.6128183056788
195,12.366585937461439,12.366585937461439
196,14.366585937461439,14.322065909620216
197,13.15534315894353,13.110823131102308
198,11.959423617045307,11.914903589204084
199,10.777526354338088,10.733006326496865
200,12.777526354338088,12.733006326496863
201,11.588556490031618,11.544036462190393
202,10.4153674452301,10.370847417388875
203,9.225088651021677,9.180568623180452
204,7.972820522448779,7.928300494607554
205,9.972820522448778,9.764891476420113
206,8.73119710204967,8.523268056021003
207,7.567370469541629,7.359441423512962
208,6.349432941868798,6.141503895840131
209,5.137719066188758,4.929790020160091
210,7.137719066188758,6.929790020160091
211,9.137719066188758,8.929790020160091
212,11.137719066188758,10.929790020160091
213,11.137719066188758,10.929790020160091
214,11.137719066188758,10.929790020160091
215,11.137719066188758,10.929790020160091
216,11.137719066188758,10.929790020160091
217,11.137719066188758,10.929790020160091
218,10.354880945686567,10.1469518996579
219,9.17377054762044,9.334016500751218
220,8.041732112564924,8.201978065695702
221,7.228796713658242,7.431964936413959
222,7.228796713658242,9.431964936413959
223,6.458783584376499,8.250854538347832
224,5.6912390278719105,7.063435192053706
225,4.896552422839578,6.295890635549118
226,3.7542511286547273,8.295890635549117
227,5.754251128654728,7.153589341364267
228,4.938901403556407,6.358902736331935
