Time_Period,Time_Label,Grid_Energy_kWh,Energy_Cost_USD,CO2_Emissions_kg,Cumulative_Energy_Cost_USD,Cumulative_CO2_Emissions_kg
64,D1 23:45,0.7254448087886913,0.28074714100122355,0.2208469752493358,3.368965692014821,2.2916831223855056
65,D1 00:00,0.7254448087887237,0.1893410950938569,0.2266343134991758,3.558306787108678,2.5183174358846814
66,D1 00:15,0.7254448087887237,0.1893410950938569,0.19919911381935027,3.747647882202535,2.7175165497040314
67,D1 00:30,0.7254448087887237,0.1893410950938569,0.20071742772834614,3.936988977296392,2.9182339774323776
68,D1 00:45,0.7254448087887237,0.1893410950938569,0.2007424374381291,4.126330072390249,3.118976414870507
69,D1 01:00,0.7254448087887237,0.1893410950938569,0.199140092355152,4.315671167484106,3.3181165072256587
70,D1 01:15,0.7254448087887237,0.1893410950938569,0.2018781009738332,4.505012262577963,3.5199946081994917
71,D1 01:30,0.7254448087887237,0.1893410950938569,0.20421297773593614,4.69435335767182,3.724207585935428
72,D1 01:45,0.7254448087887237,0.1893410950938569,0.2044786791516031,4.883694452765677,3.928686265087031
73,D1 02:00,0.7254448087887237,0.1893410950938569,0.20355150119949678,5.073035547859534,4.1322377662865275
74,D1 02:15,0.7254448087887237,0.1893410950938569,0.2039022494118773,5.262376642953391,4.336140015698405
75,D1 02:30,0.7254448087887237,0.1893410950938569,0.2060432612050587,5.451717738047248,4.542183276903463
76,D1 02:45,0.7254448087887237,0.1893410950938569,0.20528010777510913,5.641058833141105,4.747463384678572
77,D1 03:00,0.7254448087887237,0.1893410950938569,0.20616839898368516,5.830399928234962,4.953631783662257
78,D1 03:15,0.7254448087887237,0.1893410950938569,0.20914090038235925,6.019741023328819,5.162772684044617
79,D1 03:30,0.7254448087887237,0.1893410950938569,0.21105745955170144,6.209082118422676,5.373830143596319
80,D1 03:45,0.7254448087887237,0.1893410950938569,0.21196170619340193,6.398423213516533,5.585791849789721
81,D1 04:00,0.7254448087887237,0.1893410950938569,0.21087790325618852,6.58776430861039,5.79666975304591
82,D1 04:15,0.7254448087887237,0.1893410950938569,0.2033684489854503,6.777105403704247,6.00003820203136
83,D1 04:30,0.7254448087887237,0.1893410950938569,0.2030932725351358,6.966446498798104,6.203131474566495
84,D1 04:45,0.7254448087887237,0.1893410950938569,0.20277382218814086,7.155787593891961,6.405905296754637
85,D1 05:00,0.7254448087887237,0.1893410950938569,0.2045951565701022,7.345128688985818,6.610500453324739
86,D1 05:15,0.7254448087887237,0.1893410950938569,0.2015601987260603,7.534469784079675,6.812060652050799
87,D1 05:30,0.7254448087887237,0.1893410950938569,0.20377373686400035,7.723810879173532,7.015834388914799
88,D1 05:45,0.7254448087887237,0.1893410950938569,0.20545011504060398,7.913151974267389,7.221284503955403
89,D1 06:00,0.725444808788612,0.28074714100119286,0.20605366335814018,8.193899115268582,7.427338167313542
90,D1 06:15,0.7254448087887194,0.28074714100123443,0.19993009522291844,8.474646256269816,7.627268262536461
91,D1 06:30,0.7254448087887522,0.2807471410012471,0.19689804423623422,8.755393397271064,7.824166306772695
92,D1 06:45,0.7254448087885976,0.2807471410011873,0.19199871354601883,9.036140538272251,8.016165020318715
93,D1 07:00,0.7254448087887705,0.2807471410012542,0.18563084316611456,9.316887679273506,8.20179586348483
94,D1 07:15,0.7254448087887198,0.28074714100123455,0.1684264175178694,9.597634820274742,8.370222281002698
95,D1 07:30,0.7254448087887765,0.28074714100125653,0.1574570666755711,9.878381961275998,8.52767934767827
96,D1 07:45,0.7254448087887735,0.28074714100125536,0.14514467591906968,10.159129102277253,8.67282402359734
