Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A1R_minus_A0_cum_kWh,A2R_minus_A0_cum_kWh
49,20:00,0.0,25.079473684210523,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Idle,0.0,26.93081406661143,0.0,Idle,Idle,0.5072451819702408,1.851340382400906
50,20:15,0.0,25.079473684210523,0.0,Idle,Traveling,0.0,25.586718866180764,0.0,Idle,Idle,0.0,26.93081406661143,0.0,Idle,Idle,0.5072451819702408,1.851340382400906
51,20:30,0.0,25.079473684210523,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Idle,0.0,26.93081406661143,0.0,Idle,Idle,0.5072451819702408,1.851340382400906
52,20:45,0.0,25.079473684210523,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Idle,0.0,26.93081406661143,0.0,Idle,Idle,0.5072451819702408,1.851340382400906
53,21:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
54,21:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
55,21:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
56,21:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
57,22:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
58,22:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
59,22:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
60,22:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
61,23:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Idle,0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
62,23:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
63,23:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
64,23:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Idle,0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
65,00:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
66,00:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
67,00:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
68,00:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
69,01:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
70,01:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
71,01:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
72,01:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
73,02:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
