"VIN","Machine name","Event time","Battery (%)"
"JCB8GFB1PP3248768","11009663","03/02/2026 12:21:17","70"
"JCB8GFB1PP3248768","11009663","03/02/2026 12:21:18","70"
"JCB8GFB1PP3248768","11009663","03/02/2026 14:18:39","71"
"JCB8GFB1PP3248768","11009663","03/02/2026 14:18:40","70"
"JCB8GFB1PP3248768","11009663","03/02/2026 14:18:42","70"
"JCB8GFB1PP3248768","11009663","03/02/2026 14:18:58","70"
"JCB8GFB1PP3248768","11009663","03/02/2026 14:19:02","70"
"JCB8GFB1PP3248768","11009663","03/02/2026 14:19:46","70"
"JCB8GFB1PP3248768","11009663","03/02/2026 14:20:01","70"
"JCB8GFB1PP3248768","11009663","03/02/2026 14:20:09","70"
"JCB8GFB1PP3248768","11009663","03/02/2026 14:27:02","69"
"JCB8GFB1PP3248768","11009663","03/02/2026 14:27:04","69"
"JCB8GFB1PP3248768","11009663","03/02/2026 15:29:17","68"
"JCB8GFB1PP3248768","11009663","03/02/2026 15:29:19","68"
"JCB8GFB1PP3248768","11009663","03/02/2026 15:29:20","68"
"JCB8GFB1PP3248768","11009663","03/02/2026 15:29:36","68"
"JCB8GFB1PP3248768","11009663","03/02/2026 15:29:39","68"
"JCB8GFB1PP3248768","11009663","03/02/2026 15:30:19","68"
"JCB8GFB1PP3248768","11009663","03/02/2026 15:30:39","68"
"JCB8GFB1PP3248768","11009663","03/02/2026 15:30:45","68"
"JCB8GFB1PP3248768","11009663","03/02/2026 15:32:19","67"
"JCB8GFB1PP3248768","11009663","03/02/2026 15:32:21","67"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:01:14","67"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:01:16","67"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:01:17","67"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:01:33","67"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:01:36","67"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:02:15","67"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:02:36","67"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:02:42","67"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:09:21","64"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:09:23","64"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:12:06","66"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:12:13","64"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:12:15","64"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:12:17","64"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:12:36","64"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:13:43","64"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:27:14","56"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:28:08","55"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:28:10","55"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:38:55","55"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:39:14","55"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:40:19","55"
"JCB8GFB1PP3248768","11009663","03/02/2026 16:53:36","52"
"JCB8GFB1PP3248768","11009663","03/02/2026 17:11:53","52"
"JCB8GFB1PP3248768","11009663","03/02/2026 17:11:55","52"
"JCB8GFB1PP3248768","11009663","03/02/2026 17:11:56","52"
"JCB8GFB1PP3248768","11009663","03/02/2026 17:12:12","52"
"JCB8GFB1PP3248768","11009663","03/02/2026 17:12:15","52"
"JCB8GFB1PP3248768","11009663","03/02/2026 17:13:14","52"
"JCB8GFB1PP3248768","11009663","03/02/2026 17:13:16","52"
"JCB8GFB1PP3248768","11009663","03/02/2026 17:13:21","52"
"JCB8GFB1PP3248768","11009663","03/02/2026 17:16:45","50"
"JCB8GFB1PP3248768","11009663","03/02/2026 17:16:47","50"
"JCB8GFB1PP3248768","11009663","03/02/2026 17:30:52","50"
"JCB8GFB1PP3248768","11009663","03/02/2026 17:31:47","50"
"JCB8GFB1PP3248768","11009663","04/02/2026 05:31:50","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 05:31:51","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 05:32:10","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 05:33:18","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 05:33:43","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 09:13:37","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 09:13:40","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 09:13:56","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 09:14:00","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 09:14:45","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 09:14:59","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 09:15:05","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 09:16:32","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 09:16:34","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:06:11","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:06:17","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:06:19","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:06:22","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:06:30","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:06:42","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:07:41","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:07:42","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:07:43","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:07:45","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:50:22","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:50:24","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:50:25","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:50:41","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:50:44","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:51:42","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:51:44","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 10:51:50","100"
"JCB8GFB1PP3248768","11009663","04/02/2026 11:05:22","99"
"JCB8GFB1PP3248768","11009663","04/02/2026 11:20:22","96"
"JCB8GFB1PP3248768","11009663","04/02/2026 11:35:22","91"
"JCB8GFB1PP3248768","11009663","04/02/2026 11:37:47","91"
"JCB8GFB1PP3248768","11009663","04/02/2026 11:37:49","91"
"JCB8GFB1PP3248768","11009663","04/02/2026 11:47:33","91"
"JCB8GFB1PP3248768","11009663","04/02/2026 11:47:52","91"
"JCB8GFB1PP3248768","11009663","04/02/2026 11:48:58","91"
"JCB8GFB1PP3248768","11009663","04/02/2026 11:50:38","90"
"JCB8GFB1PP3248768","11009663","04/02/2026 12:02:28","89"
"JCB8GFB1PP3248768","11009663","04/02/2026 12:17:28","85"
"JCB8GFB1PP3248768","11009663","04/02/2026 12:32:28","83"
"JCB8GFB1PP3248768","11009663","04/02/2026 12:43:55","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 13:00:06","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 13:00:08","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 13:00:09","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 13:00:25","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 13:00:28","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 13:00:42","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 13:00:43","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 13:01:15","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 14:25:14","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 14:25:23","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 14:25:24","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 14:25:35","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 14:26:15","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 14:26:23","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 14:26:27","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 14:26:30","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 14:27:19","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 14:27:20","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 14:27:38","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 14:28:37","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 14:28:45","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 14:42:16","80"
"JCB8GFB1PP3248768","11009663","04/02/2026 14:57:16","79"
"JCB8GFB1PP3248768","11009663","04/02/2026 15:12:16","77"
"JCB8GFB1PP3248768","11009663","04/02/2026 15:25:30","74"
"JCB8GFB1PP3248768","11009663","04/02/2026 15:27:16","74"
"JCB8GFB1PP3248768","11009663","04/02/2026 15:42:16","70"
"JCB8GFB1PP3248768","11009663","04/02/2026 15:57:16","68"
"JCB8GFB1PP3248768","11009663","04/02/2026 16:12:16","64"
"JCB8GFB1PP3248768","11009663","04/02/2026 16:25:31","60"
"JCB8GFB1PP3248768","11009663","04/02/2026 16:27:16","60"
"JCB8GFB1PP3248768","11009663","04/02/2026 16:42:16","58"
"JCB8GFB1PP3248768","11009663","04/02/2026 16:42:21","58"
