Time_Period,CEV_1_A0_kWh,CEV_1_A1R_kWh,CEV_1_A2R_kWh
109,11.175239188183866,11.349739188181767,5.821579128045639
110,9.986168719402125,10.160668719400025,4.632508659263898
111,8.947785307144281,9.122285307142182,3.5416543117955577
112,7.856930959675941,8.031430959673841,4.23437456022656
113,6.609740052682225,6.784240052680126,2.987183653232845
114,8.609740052682225,8.289199999999997,4.9871836532328455
115,10.609740052682225,8.289199999999997,4.9871836532328455
116,12.609740052682225,10.289200000000067,4.9871836532328455
117,14.609740052682223,10.8,6.9871836532328455
118,14.609740052682223,12.2892,8.987183653232846
119,14.609740052682223,14.2892,10.358867656243026
120,14.609740052682223,14.8,10.358867656243026
121,14.609740052682223,14.8,12.358867656243026
122,13.504921682759727,13.695181630077505,11.25404928632053
123,12.409065823060839,12.599325770378616,10.137375012986848
124,14.409065823060839,13.892949999999999,9.04151915328796
125,13.292391549727157,12.776275726666317,8.220379029286075
126,12.448410769268067,11.932294946207227,10.220379029286075
127,11.627270645266183,11.111154822205343,9.420276664012395
128,10.827168279992502,10.311052456931662,8.602994623616961
129,12.827168279992502,10.346475,7.431892296835668
130,12.00988623959707,9.529192959604567,6.701408868276763
131,10.838783912815776,8.358090632823274,8.701408868276763
132,10.10830048425687,7.627607204264368,10.701408868276763
133,9.275249680167468,6.794556400174965,9.86835806418736
134,11.275249680167468,6.800000000000001,11.86835806418736
135,13.275249680167468,8.8,13.86835806418736
136,14.8,10.8,14.8
137,14.8,12.8,14.8
138,14.8,14.8,14.8
139,14.8,14.8,14.8
140,14.8,14.8,14.8
141,14.8,14.8,14.8
142,14.8,14.8,14.8
143,14.8,14.8,14.8
144,14.8,14.8,14.8
145,14.8,14.8,14.8
146,14.8,14.8,14.8
147,14.8,14.8,14.8
148,14.8,14.8,14.8
149,14.8,14.8,14.8
150,14.8,14.8,14.8
151,14.8,14.8,14.8
152,14.8,14.8,14.8
153,14.8,14.8,14.8
154,14.8,14.8,14.8
155,14.8,14.8,14.8
156,14.8,14.8,14.8
157,14.8,14.8,14.8
158,14.8,14.8,14.8
159,14.8,14.8,14.8
160,14.8,14.8,14.8
161,14.8,14.8,14.8
162,14.8,14.8,14.8
163,14.8,14.8,14.8
164,14.8,14.8,14.8
165,14.8,14.8,14.8
166,14.8,14.8,14.8
167,14.8,14.8,14.8
168,14.8,14.8,14.8
169,14.8,14.8,14.8
170,14.8,14.8,14.8
171,14.8,14.8,14.8
172,14.8,14.8,14.8
173,14.8,14.8,14.8
174,14.8,14.8,14.8
175,14.8,14.8,14.8
176,14.8,14.8,14.8
177,14.8,14.8,14.8
178,14.8,14.8,14.8
179,14.8,14.8,14.8
180,14.8,14.8,14.8
181,14.8,14.8,14.8
182,14.8,14.8,14.8
183,14.8,14.8,14.8
184,14.8,14.8,14.8
185,14.8,14.8,14.8
186,14.8,14.8,14.8
187,14.8,14.8,14.8
188,14.8,14.8,14.8
189,14.8,14.8,14.8
190,14.8,14.8,14.8
191,14.8,14.8,14.8
192,14.8,14.8,14.8
193,14.8,14.8,14.8
194,13.480620427693843,13.480620427693843,13.480620427693843
195,12.309315821289376,12.309315821289376,12.309315821289376
196,14.279340821289374,12.309315821289376,11.090488813771865
197,13.060513813771863,14.309315821289376,9.964642931401862
198,11.93466793140186,13.090488813771865,11.964642931401862
199,13.93466793140186,11.964642931401862,10.711318853908935
200,12.681343853908933,13.964642931401862,9.481870514394867
201,14.681343853908935,12.711318853908935,8.264347625202392
202,13.451895514394867,11.481870514394867,8.573432892085783
203,12.234372625202392,10.264347625202392,7.370100748298399
204,11.031040481415006,9.061015481415007,6.260743472695492
205,13.031040481415006,9.0611,7.858785277963994
206,11.9216832058121,8.198246084055565,6.737958999529443
207,10.800856927377549,7.077419805621014,5.491017642625204
208,9.55391557047331,5.968062530018107,4.316083932053527
209,8.378981859901632,4.721121173113868,3.1246146761728606
210,10.378981859901632,6.6976749999999985,3.1246146761728606
211,12.378981859901632,8.697674999999998,5.124614676172861
212,14.23445685990163,10.697674999999998,7.124614676172861
213,14.23445685990163,12.697674999999998,9.094221165916947
214,14.23445685990163,14.697674999999998,9.094221165916947
215,14.23445685990163,14.697674999999998,9.094221165916947
216,14.23445685990163,14.697674999999998,9.094221165916947
217,14.23445685990163,14.697674999999998,11.094221165916947
218,13.042987604020965,13.522741289428321,9.950388746847178
219,11.899155184951196,12.331272033547656,8.997245196484426
220,13.899155184951196,14.301424999999998,8.134391280539994
221,12.946011634588444,13.348281449637247,7.302097044582883
222,12.08315771864401,12.515987213680136,9.302097044582883
223,11.2508634826869,11.372154794610367,8.57293294506964
224,10.521699383173656,10.642990695097124,7.684193981657929
225,12.521699383173656,12.346475,6.553382809288015
226,11.632960419761945,11.457736036588289,5.700388419160113
227,10.502149247392031,10.326924864218375,7.700388419160113
228,9.64915485726413,9.473930474090473,6.9146429877731554
229,8.863409425877173,8.688185042703516,8.8
230,10.863409425877173,8.8,10.8
231,12.863409425877173,10.8,12.8
232,14.8,12.8,14.799999999999986
233,14.8,14.8,14.799999999999986
234,14.8,14.8,14.799999999999986
235,14.8,14.8,14.799999999999986
236,14.8,14.8,14.799999999999986
237,14.8,14.8,14.799999999999986
238,14.8,14.8,14.799999999999986
239,14.8,14.8,14.799999999999986
240,14.8,14.8,14.799999999999986
241,14.8,14.8,14.799999999999986
242,14.8,14.8,14.799999999999986
243,14.8,14.8,14.799999999999986
244,14.8,14.8,14.799999999999986
245,14.8,14.8,14.799999999999986
246,14.8,14.8,14.799999999999986
247,14.8,14.8,14.799999999999986
248,14.8,14.8,14.799999999999986
249,14.8,14.8,14.799999999999986
250,14.8,14.8,14.799999999999986
251,14.8,14.8,14.799999999999986
252,14.8,14.8,14.799999999999986
253,14.8,14.8,14.799999999999986
254,14.8,14.8,14.799999999999986
255,14.8,14.8,14.799999999999986
256,14.8,14.8,14.799999999999986
257,14.8,14.8,14.799999999999986
258,14.8,14.8,14.799999999999986
259,14.8,14.8,14.799999999999986
260,14.8,14.8,14.799999999999986
261,14.8,14.8,14.799999999999986
262,14.8,14.8,14.799999999999986
263,14.8,14.8,14.799999999999986
264,14.8,14.8,14.799999999999986
265,14.8,14.8,14.799999999999986
266,14.8,14.8,14.799999999999986
267,14.8,14.8,14.799999999999986
268,14.8,14.8,14.799999999999986
269,14.8,14.8,14.799999999999986
270,14.8,14.8,14.799999999999986
271,14.8,14.8,14.799999999999986
272,14.8,14.8,14.799999999999986
273,14.8,14.8,14.799999999999986
274,14.8,14.8,14.799999999999986
275,14.8,14.8,14.799999999999986
276,14.8,14.8,14.799999999999986
277,14.8,14.8,14.799999999999986
