params,run_id,macro_acc,net_weighted_accuracy,avg_prod,stopped_early,stop_reason,videos_evaluated,total_videos,video_details
"{'min_activity_duration_s': 1.5, 'dist_threshold': 0.15, 'idle_window': 20, 'fsm_min_dwell_seconds': 2.5, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_7573,0.7901741777246869,0.7930771609491323,133.2041068083628,True,Net running avg (79.3%) fell below Top-15 threshold (85.9%),3,11,"[{'video': 'Day_2', 'acc': 0.7657858484658735, 'prod': 183.37861200296368, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8015072229518133, 'prod': 58.70745404639548, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8032294617563739, 'prod': 157.52625437572928, 'len': 17670}]"
"{'min_activity_duration_s': 3.5, 'dist_threshold': 0.4, 'idle_window': 36, 'fsm_min_dwell_seconds': 2.5, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_15733,0.7977980901167685,0.7930739414426174,102.33576365567194,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7665623043206011, 'prod': 141.82424916573973, 'len': 83027}, {'video': 'Day_3', 'acc': 0.7995231841600161, 'prod': 44.82092672000599, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8273087818696884, 'prod': 120.36211508127013, 'len': 17670}]"
"{'min_activity_duration_s': 4.0, 'dist_threshold': 0.6, 'idle_window': 64, 'fsm_min_dwell_seconds': 2.0, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_17969,0.7938569287872809,0.793070140547364,98.69286732098374,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7554289292423294, 'prod': 133.42186945040692, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8035922820486918, 'prod': 42.29461743127416, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8225495750708215, 'prod': 120.36211508127013, 'len': 17670}]"
"{'min_activity_duration_s': 2.5, 'dist_threshold': 0.6, 'idle_window': 48, 'fsm_min_dwell_seconds': 1.0, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_12521,0.7934965219514382,0.7930492931804665,124.86806577519617,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7534502191609267, 'prod': 148.12239221140473, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8042064855035862, 'prod': 54.915254237288124, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8228328611898017, 'prod': 171.5665508768957, 'len': 17670}]"
"{'min_activity_duration_s': 1.5, 'dist_threshold': 0.35, 'idle_window': 24, 'fsm_min_dwell_seconds': 1.0, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_8301,0.7968937018458716,0.7930304458853668,148.43743869234535,True,Net running avg (79.3%) fell below Top-15 threshold (85.9%),3,11,"[{'video': 'Day_2', 'acc': 0.7649467752035066, 'prod': 202.34563322825886, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8001252651783008, 'prod': 66.90792795825618, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8256090651558073, 'prod': 176.05875489052096, 'len': 17670}]"
"{'min_activity_duration_s': 0.5, 'dist_threshold': 0.25, 'idle_window': 56, 'fsm_min_dwell_seconds': 1.0, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_841,0.7928952655276565,0.7930205208820574,194.65956385741666,True,Net running avg (79.3%) fell below Top-15 threshold (85.1%),3,11,"[{'video': 'Day_2', 'acc': 0.7743894802755166, 'prod': 272.38702522872194, 'len': 83027}, {'video': 'Day_3', 'acc': 0.7983473078088695, 'prod': 89.1100348115635, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8059490084985835, 'prod': 222.48163153196458, 'len': 17670}]"
"{'min_activity_duration_s': 3.0, 'dist_threshold': 0.4, 'idle_window': 20, 'fsm_min_dwell_seconds': 1.5, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_13865,0.794018291580191,0.7930181360351582,121.61755282784918,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7582467125860989, 'prod': 143.94993045897078, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8026750176785534, 'prod': 49.234365867913496, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8211331444759207, 'prod': 171.66836215666328, 'len': 17670}]"
"{'min_activity_duration_s': 5.0, 'dist_threshold': 0.4, 'idle_window': 30, 'fsm_min_dwell_seconds': 1.5, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_19305,0.795121284810505,0.7930054457419308,87.77052684514571,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.766023794614903, 'prod': 122.99638654683591, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8001899181735529, 'prod': 38.505239237470015, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8191501416430594, 'prod': 101.8099547511312, 'len': 17670}]"
"{'min_activity_duration_s': 0.8, 'dist_threshold': 0.05, 'idle_window': 24, 'fsm_min_dwell_seconds': 2.5, 'enable_fsm': True, 'override_travelling_only': False}",PARAM_SET_1834,0.7858987391142005,0.7930040944683107,158.69753500575382,True,Net running avg (79.3%) fell below Top-15 threshold (85.1%),3,11,"[{'video': 'Day_2', 'acc': 0.7638196618659987, 'prod': 200.18844900291944, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8029417112839681, 'prod': 81.24609504208165, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.7909348441926346, 'prod': 194.6580609722604, 'len': 17670}]"
"{'min_activity_duration_s': 1.5, 'dist_threshold': 0.3, 'idle_window': 48, 'fsm_min_dwell_seconds': 2.0, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_8209,0.7957571799388908,0.7929951247562902,142.91728704175355,True,Net running avg (79.3%) fell below Top-15 threshold (85.9%),3,11,"[{'video': 'Day_2', 'acc': 0.7686787726988102, 'prod': 187.67667094023696, 'len': 83027}, {'video': 'Day_3', 'acc': 0.7992726538034145, 'prod': 65.01643529450271, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8193201133144475, 'prod': 176.05875489052096, 'len': 17670}]"
