tag,backbone,stride,ssl_on,unfreeze_mode,lr_mode,label_smoothing,seed,best_val_loss,best_val_acc,epochs_run,checkpoint_path
r3d_18_stride2_sslTrue_progressive_flat_ls0.05_seed42,r3d_18,2,True,progressive,flat,0.05,42,1.4773067670183717,53.23742642212677,19,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslTrue_progressive_flat_ls0.05_seed42.pth
r3d_18_stride2_sslTrue_progressive_flat_ls0.15_seed42,r3d_18,2,True,progressive,flat,0.15,42,1.2824060523600196,57.22824481261789,23,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslTrue_progressive_flat_ls0.15_seed42.pth
r3d_18_stride2_sslTrue_progressive_layerwise_ls0.05_seed42,r3d_18,2,True,progressive,layerwise,0.05,42,1.2344102300540125,56.84416263266744,19,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslTrue_progressive_layerwise_ls0.05_seed42.pth
r3d_18_stride2_sslTrue_progressive_layerwise_ls0.15_seed42,r3d_18,2,True,progressive,layerwise,0.15,42,1.2989115332725933,54.880570896116,19,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslTrue_progressive_layerwise_ls0.15_seed42.pth
r3d_18_stride2_sslFalse_full_flat_ls0.05_seed42,r3d_18,2,False,full,flat,0.05,42,1.1131170688813412,66.46667121201791,13,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslFalse_full_flat_ls0.05_seed42.pth
r3d_18_stride2_sslFalse_full_flat_ls0.15_seed42,r3d_18,2,False,full,flat,0.15,42,1.1542692675078143,67.34846935296926,13,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslFalse_full_flat_ls0.15_seed42.pth
r3d_18_stride2_sslFalse_full_layerwise_ls0.05_seed42,r3d_18,2,False,full,layerwise,0.05,42,1.1897891573405575,63.29401604508988,6,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslFalse_full_layerwise_ls0.05_seed42.pth
r3d_18_stride2_sslFalse_full_layerwise_ls0.15_seed42,r3d_18,2,False,full,layerwise,0.15,42,1.2071705638030743,63.65764414445126,6,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslFalse_full_layerwise_ls0.15_seed42.pth
r3d_18_stride2_sslFalse_progressive_flat_ls0.05_seed42,r3d_18,2,False,progressive,flat,0.05,42,1.365002455699119,54.05786232131088,19,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslFalse_progressive_flat_ls0.05_seed42.pth
r3d_18_stride2_sslFalse_progressive_flat_ls0.15_seed42,r3d_18,2,False,progressive,flat,0.15,42,1.2307202804888089,60.032726528942526,24,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslFalse_progressive_flat_ls0.15_seed42.pth
r3d_18_stride2_sslFalse_progressive_layerwise_ls0.05_seed42,r3d_18,2,False,progressive,layerwise,0.05,42,1.2851674646353852,56.03054476034636,22,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslFalse_progressive_layerwise_ls0.05_seed42.pth
r3d_18_stride2_sslFalse_progressive_layerwise_ls0.15_seed42,r3d_18,2,False,progressive,layerwise,0.15,42,1.294835334002859,57.030522033590145,19,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslFalse_progressive_layerwise_ls0.15_seed42.pth
r2plus1d_18_stride2_sslTrue_full_flat_ls0.05_seed42,r2plus1d_18,2,True,full,flat,0.05,42,1.1862716715714219,67.03029476602805,12,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslTrue_full_flat_ls0.05_seed42.pth
r2plus1d_18_stride2_sslTrue_full_flat_ls0.15_seed42,r2plus1d_18,2,True,full,flat,0.15,42,1.256272955890764,63.93718324583533,11,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslTrue_full_flat_ls0.15_seed42.pth
r2plus1d_18_stride2_sslTrue_full_layerwise_ls0.05_seed42,r2plus1d_18,2,True,full,layerwise,0.05,42,1.2736894583252896,59.79182291311561,5,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslTrue_full_layerwise_ls0.05_seed42.pth
r2plus1d_18_stride2_sslTrue_full_layerwise_ls0.15_seed42,r2plus1d_18,2,True,full,layerwise,0.15,42,1.2742719225405466,62.68721165428058,8,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslTrue_full_layerwise_ls0.15_seed42.pth
r2plus1d_18_stride2_sslTrue_progressive_flat_ls0.05_seed42,r2plus1d_18,2,True,progressive,flat,0.05,42,1.2153190590720786,60.264539442285404,20,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslTrue_progressive_flat_ls0.05_seed42.pth
r2plus1d_18_stride2_sslTrue_progressive_flat_ls0.15_seed42,r2plus1d_18,2,True,progressive,flat,0.15,42,1.2631066832763818,61.61678143678553,22,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslTrue_progressive_flat_ls0.15_seed42.pth
r2plus1d_18_stride2_sslTrue_progressive_layerwise_ls0.05_seed42,r2plus1d_18,2,True,progressive,layerwise,0.05,42,1.1580427093293564,63.76673257425968,19,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslTrue_progressive_layerwise_ls0.05_seed42.pth
r2plus1d_18_stride2_sslTrue_progressive_layerwise_ls0.15_seed42,r2plus1d_18,2,True,progressive,layerwise,0.15,42,1.2934347371473,62.444035362832665,24,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslTrue_progressive_layerwise_ls0.15_seed42.pth
r2plus1d_18_stride2_sslFalse_full_flat_ls0.05_seed42,r2plus1d_18,2,False,full,flat,0.05,42,1.2461025097275813,61.75541464966705,6,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslFalse_full_flat_ls0.05_seed42.pth
r2plus1d_18_stride2_sslFalse_full_flat_ls0.15_seed42,r2plus1d_18,2,False,full,flat,0.15,42,1.2018626354051767,65.65532601531784,11,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslFalse_full_flat_ls0.15_seed42.pth
r2plus1d_18_stride2_sslFalse_full_layerwise_ls0.05_seed42,r2plus1d_18,2,False,full,layerwise,0.05,42,1.1692741934335957,65.75986909388422,7,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslFalse_full_layerwise_ls0.05_seed42.pth
r2plus1d_18_stride2_sslFalse_full_layerwise_ls0.15_seed42,r2plus1d_18,2,False,full,layerwise,0.15,42,1.2382831313886906,64.47353469239336,7,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslFalse_full_layerwise_ls0.15_seed42.pth
r2plus1d_18_stride2_sslFalse_progressive_flat_ls0.05_seed42,r2plus1d_18,2,False,progressive,flat,0.05,42,1.1099609850009098,64.44398990932024,19,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslFalse_progressive_flat_ls0.05_seed42.pth
r2plus1d_18_stride2_sslFalse_progressive_flat_ls0.15_seed42,r2plus1d_18,2,False,progressive,flat,0.15,42,1.195724865211221,63.028112997431876,19,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslFalse_progressive_flat_ls0.15_seed42.pth
r2plus1d_18_stride2_sslFalse_progressive_layerwise_ls0.05_seed42,r2plus1d_18,2,False,progressive,layerwise,0.05,42,1.2617659479598424,62.864480352719255,19,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslFalse_progressive_layerwise_ls0.05_seed42.pth
r2plus1d_18_stride2_sslFalse_progressive_layerwise_ls0.15_seed42,r2plus1d_18,2,False,progressive,layerwise,0.15,42,1.323080548085759,62.63721279061839,24,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride2_sslFalse_progressive_layerwise_ls0.15_seed42.pth
