Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,CEV_1_Working_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh
13,13,11:00,11:15,-0.0,8.0,2.3998580900297384e-12,245.7219210518399,243.61665789394456,0.0,4.544370468236508,6.544370468236508
14,14,11:15,11:30,0.0,3.3443747327055464e-9,-5.362727805682601e-13,243.61665789394456,243.6166578930646,4.845771820549134,6.544370468236508,5.332927513935319
15,15,11:30,11:45,0.0,0.0,0.0,243.6166578930646,243.6166578930646,4.65614070521923,5.332927513935319,4.168892337630512
16,16,11:45,12:00,0.0,0.0,0.0,243.6166578930646,243.6166578930646,4.874004304701628,4.168892337630512,2.96
17,17,12:00,12:15,-0.0,8.0,1.2434497875801753e-14,243.6166578930646,241.51139473516986,0.0,2.96,4.96
18,18,12:15,12:30,0.0,0.0,0.0,241.51139473516986,241.51139473516986,0.0,4.96,4.96
19,19,12:30,12:45,0.0,0.0,0.0,241.51139473516986,241.51139473516986,0.0,4.96,4.96
20,20,12:45,13:00,0.0,0.0,0.0,241.51139473516986,241.51139473516986,0.0,4.96,4.96
21,21,13:00,13:15,0.0,0.0,0.0,241.51139473516986,241.51139473516986,0.0,4.96,4.96
22,22,13:15,13:30,0.0,0.5335000060184772,-7.216449660063518e-14,241.51139473516986,241.37099999674396,0.0,4.96,5.0933750015046195
23,23,13:30,13:45,0.0,8.0,1.2434497875801753e-14,241.37099999674396,239.26573683884922,0.0,5.0933750015046195,7.0933750015046195
24,24,13:45,14:00,0.0,8.0,1.2434497875801753e-14,239.26573683884922,237.16047368095448,0.0,7.0933750015046195,9.093375001504619
25,25,14:00,14:15,0.0,8.0,1.2434497875801753e-14,237.16047368095448,235.05521052305974,0.0,9.093375001504619,11.093375001504619
26,26,14:15,14:30,0.0,0.0,0.0,235.05521052305974,235.05521052305974,5.239670158831451,11.093375001504619,9.783457461796756
27,27,14:30,14:45,0.0,0.0,0.0,235.05521052305974,235.05521052305974,4.345636180099468,9.783457461796756,8.697048416771889
28,28,14:45,15:00,0.0,0.0,0.0,235.05521052305974,235.05521052305974,2.7772741928813125,8.697048416771889,8.00272986855156
29,29,15:00,15:15,0.0,2.4489594352417045e-9,-2.9917588873674123e-15,235.05521052305974,235.05521052241528,3.3369545158491576,8.00272986855156,7.16849124020151
30,30,15:15,15:30,0.0,7.999999997551041,1.5987211554602254e-14,235.05521052241528,232.949947365165,0.0,7.16849124020151,9.16849123958927
31,31,15:30,15:45,0.0,0.0,0.0,232.949947365165,232.949947365165,2.8272649859549155,9.16849123958927,8.46167499310054
32,32,15:45,16:00,0.0,0.0,0.0,232.949947365165,232.949947365165,2.795179460779104,8.46167499310054,7.762880127905765
33,33,16:00,16:15,0.0,0.0,0.0,232.949947365165,232.949947365165,5.07977744854029,7.762880127905765,6.492935765770692
34,34,16:15,16:30,0.0,8.0,1.2434497875801753e-14,232.949947365165,230.84468420727026,0.0,6.492935765770692,8.492935765770692
35,35,16:30,16:45,0.0,0.0,-4.7916728362906724e-9,230.84468420727026,230.84468420846818,3.5953878320187367,8.492935765770692,7.594088807766008
36,36,16:45,17:00,0.0,0.0,0.0,230.84468420846818,230.84468420846818,3.065283773243801,7.594088807766008,6.8277678644550575
37,37,17:00,17:15,0.0,8.0,1.2434497875801753e-14,230.84468420846818,228.73942105057344,0.0,6.8277678644550575,8.827767864455058
38,38,17:15,17:30,0.0,8.0,1.2434497875801753e-14,228.73942105057344,226.6341578926787,0.0,8.827767864455058,10.827767864455058
39,39,17:30,17:45,0.0,8.0,-1.0125233984581428e-13,226.6341578926787,224.528894734784,0.0,10.827767864455058,12.827767864455058
40,40,17:45,18:00,0.0,8.0,1.2612133559741778e-13,224.528894734784,222.42363157688922,0.0,12.827767864455058,14.8
41,41,18:00,18:15,-0.0,0.0,10.0,222.42363157688922,219.92363157688922,0.0,14.8,14.8
42,42,18:15,18:30,-0.0,0.0,0.0,219.92363157688922,219.92363157688922,0.0,14.8,14.8
43,43,18:30,18:45,-0.0,0.0,0.0,219.92363157688922,219.92363157688922,0.0,14.8,14.8
44,44,18:45,19:00,-0.0,0.0,0.0,219.92363157688922,219.92363157688922,0.0,14.8,14.8
45,45,19:00,19:15,-0.0,0.0,0.0,219.92363157688922,219.92363157688922,0.0,14.8,14.8
46,46,19:15,19:30,-0.0,0.0,0.0,219.92363157688922,219.92363157688922,0.0,14.8,14.8
47,47,19:30,19:45,-0.0,0.0,0.0,219.92363157688922,219.92363157688922,0.0,14.8,14.8
48,48,19:45,20:00,-0.0,0.0,0.0,219.92363157688922,219.92363157688922,0.0,14.8,14.8
49,49,20:00,20:15,-0.0,0.0,0.0,219.92363157688922,219.92363157688922,0.0,14.8,14.8
50,50,20:15,20:30,-0.0,0.0,1.1368683772161603e-13,219.92363157688922,219.9236315768892,0.0,14.8,14.8
51,51,20:30,20:45,-0.0,0.0,0.0,219.9236315768892,219.9236315768892,0.0,14.8,14.8
52,52,20:45,21:00,-0.0,0.0,0.0,219.9236315768892,219.9236315768892,0.0,14.8,14.8
53,53,21:00,21:15,2.8781213802019874,0.0,-8.615330671091215e-14,219.9236315768892,220.6071854046872,0.0,14.8,14.8
54,54,21:15,21:30,2.8781213802019874,0.0,0.0,220.6071854046872,221.29073923248515,0.0,14.8,14.8
55,55,21:30,21:45,2.8781213802019874,0.0,2.7533531010703882e-14,221.29073923248515,221.97429306028312,0.0,14.8,14.8
56,56,21:45,22:00,2.8781213802019874,0.0,-8.615330671091215e-14,221.97429306028312,222.6578468880811,0.0,14.8,14.8
57,57,22:00,22:15,2.8781213802019874,0.0,2.7533531010703882e-14,222.6578468880811,223.34140071587908,0.0,14.8,14.8
58,58,22:15,22:30,2.8781213802019874,0.0,-8.615330671091215e-14,223.34140071587908,224.02495454367707,0.0,14.8,14.8
59,59,22:30,22:45,2.8781213802019874,0.0,2.7533531010703882e-14,224.02495454367707,224.70850837147503,0.0,14.8,14.8
60,60,22:45,23:00,2.8781213802019874,0.0,-8.615330671091215e-14,224.70850837147503,225.39206219927303,0.0,14.8,14.8
61,61,23:00,23:15,2.8781213802019874,0.0,2.7533531010703882e-14,225.39206219927303,226.075616027071,0.0,14.8,14.8
62,62,23:15,23:30,2.8781213802019874,0.0,2.7533531010703882e-14,226.075616027071,226.75916985486896,0.0,14.8,14.8
63,63,23:30,23:45,2.8781213802019874,0.0,0.0,226.75916985486896,227.44272368266692,0.0,14.8,14.8
64,64,23:45,00:00,2.8781213802019874,0.0,-8.615330671091215e-14,227.44272368266692,228.12627751046492,0.0,14.8,14.8
65,65,00:00,00:15,2.8781213802019874,0.0,2.7533531010703882e-14,228.12627751046492,228.80983133826288,0.0,14.8,14.8
66,66,00:15,00:30,2.8781213802019874,0.0,2.7533531010703882e-14,228.80983133826288,229.49338516606085,0.0,14.8,14.8
67,67,00:30,00:45,2.8781213802019874,0.0,2.7533531010703882e-14,229.49338516606085,230.1769389938588,0.0,14.8,14.8
68,68,00:45,01:00,2.8781213802019874,0.0,-8.615330671091215e-14,230.1769389938588,230.8604928216568,0.0,14.8,14.8
69,69,01:00,01:15,2.8781213802019874,0.0,2.7533531010703882e-14,230.8604928216568,231.54404664945477,0.0,14.8,14.8
70,70,01:15,01:30,2.8781213802019874,0.0,2.7533531010703882e-14,231.54404664945477,232.22760047725274,0.0,14.8,14.8
71,71,01:30,01:45,2.8781213802019874,0.0,2.7533531010703882e-14,232.22760047725274,232.9111543050507,0.0,14.8,14.8
72,72,01:45,02:00,2.8781213802019874,0.0,0.0,232.9111543050507,233.59470813284867,0.0,14.8,14.8
73,73,02:00,02:15,2.8781213802019874,0.0,2.5490720645393594e-13,233.59470813284867,234.27826196064657,0.0,14.8,14.8
74,74,02:15,02:30,2.8781213802019874,0.0,-8.615330671091215e-14,234.27826196064657,234.96181578844457,0.0,14.8,14.8
75,75,02:30,02:45,2.8781213802019874,0.0,-8.615330671091215e-14,234.96181578844457,235.64536961624256,0.0,14.8,14.8
76,76,02:45,03:00,2.8781213802019874,0.0,2.7533531010703882e-14,235.64536961624256,236.32892344404053,0.0,14.8,14.8
77,77,03:00,03:15,2.8781213802019874,0.0,2.7533531010703882e-14,236.32892344404053,237.0124772718385,0.0,14.8,14.8
78,78,03:15,03:30,2.8781213802019874,0.0,-1.9984014443252818e-13,237.0124772718385,237.6960310996365,0.0,14.8,14.8
79,79,03:30,03:45,2.8781213802019874,0.0,2.7533531010703882e-14,237.6960310996365,238.37958492743448,0.0,14.8,14.8
80,80,03:45,04:00,2.8781213802019874,0.0,2.7533531010703882e-14,238.37958492743448,239.06313875523244,0.0,14.8,14.8
81,81,04:00,04:15,2.8781213802019874,0.0,0.0,239.06313875523244,239.74669258303038,0.0,14.8,14.8
82,82,04:15,04:30,2.8781213802019874,0.0,-8.615330671091215e-14,239.74669258303038,240.43024641082837,0.0,14.8,14.8
83,83,04:30,04:45,2.8781213802019874,0.0,2.7533531010703882e-14,240.43024641082837,241.11380023862634,0.0,14.8,14.8
84,84,04:45,05:00,2.8781213802019874,0.0,2.7533531010703882e-14,241.11380023862634,241.7973540664243,0.0,14.8,14.8
85,85,05:00,05:15,2.8781213802019874,0.0,2.7533531010703882e-14,241.7973540664243,242.48090789422227,0.0,14.8,14.8
86,86,05:15,05:30,2.8781213802019874,0.0,-8.615330671091215e-14,242.48090789422227,243.16446172202026,0.0,14.8,14.8
87,87,05:30,05:45,2.8781213802019874,0.0,2.7533531010703882e-14,243.16446172202026,243.84801554981823,0.0,14.8,14.8
88,88,05:45,06:00,2.8781213802019874,0.0,-1.9984014443252818e-13,243.84801554981823,244.53156937761625,0.0,14.8,14.8
89,89,06:00,06:15,2.8781213802019874,0.0,2.7533531010703882e-14,244.53156937761625,245.21512320541422,0.0,14.8,14.8
90,90,06:15,06:30,2.8781213802019874,0.0,0.0,245.21512320541422,245.89867703321218,0.0,14.8,14.8
91,91,06:30,06:45,2.8781213802019874,0.0,2.7533531010703882e-14,245.89867703321218,246.58223086101015,0.0,14.8,14.8
92,92,06:45,07:00,2.8781213802019874,0.0,2.7533531010703882e-14,246.58223086101015,247.2657846888081,0.0,14.8,14.8
93,93,07:00,07:15,2.8781213802019874,0.0,2.7533531010703882e-14,247.2657846888081,247.94933851660608,0.0,14.8,14.8
94,94,07:15,07:30,2.8781213802019874,0.0,2.7533531010703882e-14,247.94933851660608,248.63289234440404,0.0,14.8,14.8
95,95,07:30,07:45,2.8781213802019874,0.0,2.7533531010703882e-14,248.63289234440404,249.316446172202,0.0,14.8,14.8
96,96,07:45,08:00,2.8781213802019874,0.0,-8.615330671091215e-14,249.316446172202,250.0,0.0,14.8,14.8
