Time_Period,Clock,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A2R_minus_A1R_cum_kWh
82,04:15,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
83,04:30,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
84,04:45,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
85,05:00,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
86,05:15,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
87,05:30,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
88,05:45,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
89,06:00,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
90,06:15,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
91,06:30,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
92,06:45,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
93,07:00,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
94,07:15,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
95,07:30,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
96,07:45,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
