Time_Period,Clock,Site_2_A1S_kW,Site_2_A2S_kW
294,09:15,5.087655972447932,4.732999933003754
295,09:30,0.0,4.78583226607355
296,09:45,4.732999933003754,0.0
297,10:00,4.78583226607355,4.898881595862612
298,10:15,4.898881595862612,4.272869381689468
299,10:30,4.272869381689468,5.097525130458029
300,10:45,0.0,0.0
301,11:00,5.097525130458029,4.911017301681516
302,11:15,4.911017301681516,4.480139275355359
303,11:30,4.480139275355359,4.6293384223559775
304,11:45,4.6293384223559775,4.372317528545364
305,12:00,0.0,0.0
306,12:15,0.0,0.0
307,12:30,0.0,0.0
308,12:45,0.0,0.0
309,13:00,0.0,0.0
310,13:15,0.0,0.0
311,13:30,0.0,0.0
312,13:45,0.0,0.0
313,14:00,4.372317528545364,5.015382758118874
314,14:15,5.015382758118874,2.9422896270444467
315,14:30,0.0,2.972910896666687
316,14:45,4.792499380382836,4.792499380382836
317,15:00,2.9422896270444467,0.0
318,15:15,2.972910896666687,4.704387153590414
319,15:30,4.704387153590414,3.2260209643814637
320,15:45,0.0,0.0
321,16:00,3.2260209643814637,3.101993116906623
322,16:15,3.101993116906623,0.0
323,16:30,3.118695036712222,3.118695036712222
324,16:45,3.444436432050923,3.444436432050923
325,17:00,0.0,0.0
326,17:15,0.0,0.0
327,17:30,0.0,0.0
328,17:45,0.0,0.0
329,18:00,0.0,0.0
330,18:15,0.0,0.0
331,18:30,0.0,0.0
332,18:45,0.0,0.0
333,19:00,0.0,0.0
334,19:15,0.0,0.0
335,19:30,0.0,0.0
336,19:45,0.0,0.0
337,20:00,0.0,0.0
338,20:15,0.0,0.0
339,20:30,0.0,0.0
340,20:45,0.0,0.0
341,21:00,0.0,0.0
342,21:15,0.0,0.0
343,21:30,0.0,0.0
344,21:45,0.0,0.0
345,22:00,0.0,0.0
346,22:15,0.0,0.0
347,22:30,0.0,0.0
348,22:45,0.0,0.0
349,23:00,0.0,0.0
350,23:15,0.0,0.0
351,23:30,0.0,0.0
352,23:45,0.0,0.0
353,00:00,0.0,0.0
354,00:15,0.0,0.0
355,00:30,0.0,0.0
356,00:45,0.0,0.0
357,01:00,0.0,0.0
358,01:15,0.0,0.0
359,01:30,0.0,0.0
360,01:45,0.0,0.0
361,02:00,0.0,0.0
362,02:15,0.0,0.0
363,02:30,0.0,0.0
364,02:45,0.0,0.0
365,03:00,0.0,0.0
366,03:15,0.0,0.0
367,03:30,0.0,0.0
368,03:45,0.0,0.0
369,04:00,0.0,0.0
370,04:15,0.0,0.0
371,04:30,0.0,0.0
372,04:45,0.0,0.0
373,05:00,0.0,0.0
374,05:15,0.0,0.0
375,05:30,0.0,0.0
376,05:45,0.0,0.0
377,06:00,0.0,0.0
378,06:15,0.0,0.0
379,06:30,0.0,0.0
380,06:45,0.0,0.0
381,07:00,0.0,0.0
382,07:15,0.0,0.0
383,07:30,0.0,0.0
384,07:45,0.0,0.0
385,08:00,4.541096993044504,4.541096993044504
386,08:15,4.96783207674046,4.96783207674046
387,08:30,0.0,3.119621783698245
388,08:45,4.94501943196454,0.0
389,09:00,4.749823428738794,4.94501943196454
390,09:15,4.785487233366009,3.080153629642904
391,09:30,0.0,4.702387088499451
392,09:45,4.702387088499451,4.749823428738794
393,10:00,4.623040750612458,0.0
394,10:15,4.77577673075752,4.785487233366009
395,10:30,4.504979159457762,4.623040750612458
396,10:45,0.0,4.77577673075752
397,11:00,4.68266544991589,0.0
398,11:15,4.226954618156867,4.226954618156867
399,11:30,4.575177176927791,4.504979159457762
400,11:45,4.7550554761182715,3.496366137987154
401,12:00,0.0,0.0
402,12:15,0.0,0.0
403,12:30,0.0,0.0
404,12:45,0.0,0.0
405,13:00,0.0,0.0
406,13:15,0.0,0.0
407,13:30,0.0,0.0
408,13:45,0.0,0.0
409,14:00,4.736894371156663,4.68266544991589
410,14:15,3.119621783698245,4.575177176927791
411,14:30,0.0,4.99433844655507
412,14:45,4.99433844655507,4.7550554761182715
413,15:00,4.283313129331236,0.0
414,15:15,3.080153629642904,4.736894371156663
415,15:30,3.496366137987154,4.283313129331236
416,15:45,0.0,3.0106931368912306
417,16:00,3.0106931368912306,0.0
418,16:15,4.534530520849567,4.534530520849567
419,16:30,3.255617949471751,3.255617949471751
420,16:45,3.064989620667559,3.064989620667559
421,17:00,0.0,0.0
422,17:15,0.0,0.0
423,17:30,0.0,0.0
424,17:45,0.0,0.0
425,18:00,0.0,0.0
426,18:15,0.0,0.0
427,18:30,0.0,0.0
428,18:45,0.0,0.0
429,19:00,0.0,0.0
430,19:15,0.0,0.0
431,19:30,0.0,0.0
432,19:45,0.0,0.0
433,20:00,0.0,0.0
434,20:15,0.0,0.0
435,20:30,0.0,0.0
436,20:45,0.0,0.0
437,21:00,0.0,0.0
438,21:15,0.0,0.0
439,21:30,0.0,0.0
440,21:45,0.0,0.0
441,22:00,0.0,0.0
442,22:15,0.0,0.0
443,22:30,0.0,0.0
444,22:45,0.0,0.0
445,23:00,0.0,0.0
446,23:15,0.0,0.0
447,23:30,0.0,0.0
448,23:45,0.0,0.0
449,00:00,0.0,0.0
450,00:15,0.0,0.0
451,00:30,0.0,0.0
452,00:45,0.0,0.0
453,01:00,0.0,0.0
454,01:15,0.0,0.0
455,01:30,0.0,0.0
456,01:45,0.0,0.0
457,02:00,0.0,0.0
458,02:15,0.0,0.0
459,02:30,0.0,0.0
460,02:45,0.0,0.0
461,03:00,0.0,0.0
462,03:15,0.0,0.0
463,03:30,0.0,0.0
464,03:45,0.0,0.0
465,04:00,0.0,0.0
466,04:15,0.0,0.0
467,04:30,0.0,0.0
468,04:45,0.0,0.0
469,05:00,0.0,0.0
470,05:15,0.0,0.0
471,05:30,0.0,0.0
472,05:45,0.0,0.0
473,06:00,0.0,0.0
474,06:15,0.0,0.0
475,06:30,0.0,0.0
476,06:45,0.0,0.0
477,07:00,0.0,0.0
478,07:15,0.0,0.0
479,07:30,0.0,0.0
480,07:45,0.0,0.0
